origin_year,train_years_count,test_samples,model,mae_t_ha,rmse_t_ha,r2,medae_t_ha
2009,12,854,median,0.7792,0.9676,-0.0244,0.6994
2009,12,854,ridge_trend,0.3379,0.4283,0.7993,0.2903
2009,12,854,tree,0.5849,0.7287,0.419,0.5159
2009,12,854,forest,0.4094,0.5384,0.6828,0.3067
2010,13,863,median,0.7644,0.9719,-0.086,0.6458
2010,13,863,ridge_trend,0.3503,0.4602,0.7565,0.2712
2010,13,863,tree,0.5955,0.76,0.336,0.4991
2010,13,863,forest,0.4401,0.5758,0.6188,0.3611
2011,14,849,median,0.7879,1.0075,-0.1693,0.6369
2011,14,849,ridge_trend,0.4022,0.5488,0.6531,0.3046
2011,14,849,tree,0.6439,0.8128,0.239,0.5355
2011,14,849,forest,0.4838,0.6377,0.5315,0.3823
